"","time","day","area","year","air_temp"
"471",0,60,"srimangal",1982,296.182596702395
"472",3,60,"srimangal",1982,292.413905432126
"473",6,60,"srimangal",1982,289.998964554699
"474",9,60,"srimangal",1982,293.816141086782
"475",12,60,"srimangal",1982,301.913740434919
"476",15,60,"srimangal",1982,305.731035445551
"477",18,60,"srimangal",1982,303.03185739746
"478",21,60,"srimangal",1982,299.214611462043
"479",0,61,"srimangal",1982,296.515437612922
"480",3,61,"srimangal",1982,292.698212005624
"481",6,61,"srimangal",1982,290.769060660874
"482",9,61,"srimangal",1982,294.231941087627
"483",12,61,"srimangal",1982,301.577951430788
"484",15,61,"srimangal",1982,305.040939339353
"485",18,61,"srimangal",1982,302.592288942261
"486",21,61,"srimangal",1982,299.129345553932
"487",0,62,"srimangal",1982,296.680698966077
"488",3,62,"srimangal",1982,293.217774019088
"489",6,62,"srimangal",1982,289.659250898441
"490",9,62,"srimangal",1982,292.420819171492
"491",12,62,"srimangal",1982,298.279095114392
"492",15,62,"srimangal",1982,301.04074910174
"493",18,62,"srimangal",1982,299.088006178201
"494",21,62,"srimangal",1982,296.326387694727
"495",0,63,"srimangal",1982,294.373647808967
"496",3,63,"srimangal",1982,291.612044032041
"497",6,63,"srimangal",1982,286.368909260735
"498",9,63,"srimangal",1982,290.389927387665
"499",12,63,"srimangal",1982,298.919947807159
"500",15,63,"srimangal",1982,302.941090739529
"501",18,63,"srimangal",1982,300.097773494973
"502",21,63,"srimangal",1982,296.07668225849
"503",0,64,"srimangal",1982,293.233369437133
"504",3,64,"srimangal",1982,289.212299614316
"505",6,64,"srimangal",1982,288.169093573948
"506",9,64,"srimangal",1982,291.510639718054
"507",12,64,"srimangal",1982,298.59925656636
"508",15,64,"srimangal",1982,301.940906426271
"509",18,64,"srimangal",1982,299.578053169932
"510",21,64,"srimangal",1982,296.236446270333
"511",0,65,"srimangal",1982,293.87359668976
"512",3,65,"srimangal",1982,290.532007585343
"513",6,65,"srimangal",1982,288.829170590541
"514",9,65,"srimangal",1982,291.886794513252
"515",12,65,"srimangal",1982,298.373110583597
"516",15,65,"srimangal",1982,301.43082940966
"517",18,65,"srimangal",1982,299.268741462683
"518",21,65,"srimangal",1982,296.21106194671
"519",0,66,"srimangal",1982,294.048977363179
"520",3,66,"srimangal",1982,290.991314130379
"521",6,66,"srimangal",1982,289.979518810861
"522",9,66,"srimangal",1982,291.753426023164
"523",12,66,"srimangal",1982,295.516518917944
"524",15,66,"srimangal",1982,297.290481189255
"525",18,66,"srimangal",1982,296.036126991445
"526",21,66,"srimangal",1982,294.262187526226
"527",0,67,"srimangal",1982,293.007835279749
"528",3,67,"srimangal",1982,291.233905261355
"529",6,67,"srimangal",1982,287.338943490332
"530",9,67,"srimangal",1982,291.233773963309
"531",12,67,"srimangal",1982,299.496105148153
"532",15,67,"srimangal",1982,303.391056509924
"533",18,67,"srimangal",1982,300.636968291751
"534",21,67,"srimangal",1982,296.742067003547
"535",0,68,"srimangal",1982,293.987983069764
"536",3,68,"srimangal",1982,290.093102523221
"537",6,68,"srimangal",1982,286.978938882501
"538",9,68,"srimangal",1982,290.890756155049
"539",12,68,"srimangal",1982,299.189122429173
"540",15,68,"srimangal",1982,303.101061117755
"541",18,68,"srimangal",1982,300.334961299877
"542",21,68,"srimangal",1982,296.423072903251
"543",0,69,"srimangal",1982,293.656977388449
"544",3,69,"srimangal",1982,289.745109823945
"545",6,69,"srimangal",1982,287.228791431931
"546",9,69,"srimangal",1982,291.684186290738
"547",12,69,"srimangal",1982,301.135675421813
"548",15,69,"srimangal",1982,305.591208568361
"549",18,69,"srimangal",1982,302.440737559909
"550",21,69,"srimangal",1982,297.985261693777
"551",0,70,"srimangal",1982,294.834795586347
"552",3,70,"srimangal",1982,290.379343447124
"553",6,70,"srimangal",1982,290.598970479052
"554",9,70,"srimangal",1982,294.394306840259
"555",12,70,"srimangal",1982,302.445575359322
"556",15,70,"srimangal",1982,306.241029521197
"557",18,70,"srimangal",1982,303.557294958441
"558",21,70,"srimangal",1982,299.761889590995
"559",0,71,"srimangal",1982,297.078159203185
"560",3,71,"srimangal",1982,293.28277404755
"561",6,71,"srimangal",1982,291.828953364254
"562",9,71,"srimangal",1982,295.687383552437
"563",12,71,"srimangal",1982,303.872496688825
"564",15,71,"srimangal",1982,307.731046635999
"565",18,71,"srimangal",1982,305.002697560052
"566",21,71,"srimangal",1982,301.144197218467
"567",0,72,"srimangal",1982,298.415852386869
"568",3,72,"srimangal",1982,294.557372593097
"569",6,72,"srimangal",1982,292.729062635659
